NAMA RUMAH;HARGA;Luas bangunan;Luas tanah;Kamar tidur;Kamar mandi;Kapasitas mobil dalam garasi
Rumah Minimalis Plus Mini Swimming Pool , Tebet, Tebet, Jakarta Selatan;0,0859;0,223;0,1085;0,375;0,4444;0,3333
Rumah Bagus Siap Huni, Tebet, Jakarta Selatan;0,075;0,1054;0,1085;0,5;0,3333;0,1111
Rumah Brand New Minimalis Elegan 2 Lantai Lokasi Strategis 5 Menit Ke Stasiun di Tebet, Tebet, Jakarta Selatan;0,0344;0,0724;0,0416;0,125;0,2222;0,1111
Rumah Daerah Tebet, Tebet, Jakarta Selatan;0,1219;0,317;0,1308;0,375;0,4444;0,1111
Rumah Mewah Furnished Tebet Barat Swimming Poll Akses Patra Kuningan, Tebet, Jakarta Selatan;0,6406;0,7874;0,4056;0,625;0,6667;0
Rumah mewah hook siap huni dan terawat di gudang peluru tebet, Tebet, Jakarta Selatan;0,1547;0,5484;0,2779;0,375;0,4444;0,1111
Rumah tebet, Tebet, Jakarta Selatan;0,0406;0,0771;0,1085;0,75;0,7778;0
Rumah baru Minimalis, Tebet, Jakarta Selatan;0,0469;0,1477;0,049;0,25;0,3333;0,2222
Rumah Minimalis 3 Lantai lokasi strategis bebas banjir ada mini kolam renang di tebet jakarta selatan, Tebet, Jakarta Selatan;0,0859;0,223;0,1085;0,375;0,4444;0
Rumah Siap Huni Hadap Timur di Tebet, Tebet, Jakarta Selatan;0,0547;0,1759;0,0743;0,5;0,2222;0
Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan;0,0547;0,1731;0,0379;0,375;0,4444;0
rumah 2 lantai , jalan depan 1 mobil , SHM , Tebet timur , Jakarta Selatan, Tebet, Jakarta Selatan;0,0469;0,1289;0,0639;0,25;0,3333;0,1111
FATHUR TEBET RUMAH BAGUS lt 90m2 LOKASI BAGUS. HUB FATHUR:0818398080, Tebet, Jakarta Selatan;0,025;0,0818;0,0267;0,125;0,1111;0,1111
Rumah tua layak huni, HITUNG TANAH di Tebet Barat, Jakarta Selatan, Tebet, Jakarta Selatan;0,0703;0,1383;0,1374;0,75;0,4444;0
Di Juaal Cepat Rumah Mewah Di Menteng Dalam Fully Furnished dan Bangun Kualitas Terbaik hrg 15 M, Tebet, Jakarta Selatan;0,2188;0,2596;0,4376;0,625;0,4444;0,4444
Rumah 2 Lt bagus dan TERMURAH Akses Jalan 2 Mobil di Tebet Utara, Tebet, jakarta Selatan, Tebet, Jakarta Selatan;0,0391;0,1195;0,0342;0,375;0,3333;0,1111
Rumah Modern Minimalis 3 Lantai Full Furnished di Tebet Jakarta Selatan, Tebet, Jakarta Selatan;0,0516;0,0677;0,0684;0,5;0,5556;0
Rumah Tebet Dalam Jakarta Selatan, Tebet, Jakarta Selatan;0,0469;0,1195;0,0899;0,25;0,1111;0
rumah lama layak huni strategis dekat jalan tebet raya, Tebet, Jakarta Selatan;0,0234;0,0536;0,0267;0,25;0;0
Rumah Huk, Tebet ,SHM+IMB ,menteng dalem , jakarta Selatan, Tebet, Jakarta Selatan;0,0586;0,1101;0,1055;0,375;0,4444;0
Rumah di tebet, Jakarta Selatan, dekat tol, Tebet, Jakarta Selatan;0,3438;0,6463;0,4131;0,75;0,5556;0,3333
Rumah Cantik 3 Lt @Brand New Akses Jalan 2 Mobil TERMURAH di Tebet Timur, Tebet, Jakarta Selatan;0,0531;0,1759;0,0312;0,5;0,4444;0,1111
Rumah cantik, minimalis , strategis & murah di Tebet, Tebet, Jakarta Selatan;0,0547;0,1477;0,0639;0,375;0,3333;0,1111
hunian asri diselatan jakarta, Tebet, Jakarta Selatan;0,0625;0,1759;0,0936;0,375;0,2222;0,1111
Rumah Mewah Cantik Asri Siap Huni Di Gudang Peluru Tebet Jakarta Selatan, Tebet, Jakarta Selatan;0,1875;0,1289;0,2519;0,375;0,2222;0
Rumah ditebet barat1, Tebet, Jakarta Selatan;0,0492;0,1439;0,0602;0,375;0,3333;0
Rumah Tebet Barat Dalam XB, Tebet, Jakarta Selatan;0,0438;0,1853;0,0565;0,5;0,2222;0,1111
Rumah Bagus dan Minimalis Tebet, Tebet, Jakarta Selatan;0,1109;0,1712;0,1382;0,125;0,2222;0,1111
Rumah terawat siap huni bagus jalanan dua mobil di Tebet, Tebet, Jakarta Selatan;0,0664;0,079;0,0401;0,25;0,2222;0,1111
Rumah Asri Dan Sangat Strateaigis Di Tebet, Tebet, Jakarta Selatan;0,0547;0,0536;0,0676;0,5;0,3333;0,1111
Rumah Lokasi Strategis Dekat Jalan Raya di Tebet, Tebet, Jakarta Selatan;0,0813;0,1007;0,1085;0,75;0,4444;0,1111
rumah tebet, bonus apartemen dan mobil, Tebet, Jakarta Selatan;0,0859;0,1759;0,1085;0,5;0,2222;0,1111
Rumah Baru Murah di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan;0,0391;0,1007;0,0431;0,25;0,4444;0,1111
Rumah Tebet Jalan 2 Mobil Lokasi Strategis, Tebet, Jakarta Selatan;0,0344;0,0818;0,0565;0,125;0,1111;0
RUMAH BARU MURAH SIAP HUNI DI TEBET TIMUR JAKRTA - YUNIA , 081282940124, Tebet, Jakarta Selatan;0,0437;0,1289;0,0565;0,125;0,2222;0
Rumah Bagus, Siap Huni, Tebet, Jakarta Selatan;0,0781;0,1759;0,107;0,625;0,3333;0,1111
Rumah Second Hook Lokasi Premium Di Tebet - YUNIA 081282940124, Tebet, Jakarta Selatan;0,1373;0,3198;0,2519;0,375;0,2222;0,1111
rumah tinggal tempati., Tebet, Jakarta Selatan;0,0703;0,1007;0,1605;0,5;0,2222;0
Rumah Tebet Murah Lokasi Strategis Ramai Jakarta Selatan, Tebet, Jakarta Selatan;0,0367;0,0536;0,0602;0,25;0,2222;0
RUMAH TEBET 165m2 SIAP HUNI HUB : 081280069222 FIFI PR-15815, Tebet, Jakarta Selatan;0,0391;0,1759;0,0825;0,5;0,3333;0,1111
Rumah Baru Minimalis daerah Tebet Timur, Tebet, Jakarta Selatan;0,0578;0,1101;0,0617;0,25;0,2222;0,1111
Rumah baru 2 lantai siap huni di tebet dengan harga terjangkau, Tebet, Jakarta Selatan;0,0391;0,1007;0,0431;0,125;0,3333;0
RUMAH KOKOH AMAN DAN STRATEGIS DI TEBET, Tebet, Jakarta Selatan;0,0289;0,0913;0,0267;0,25;0,1111;0
Rumah baru di Tebet Posisi hoek, Tebet, Jakarta Selatan;0,0391;0,0913;0,0416;0,125;0,2222;0,1111
Rumah Tebet Mas Indah, Tebet, Jakarta Selatan, Tebet, Jakarta Selatan;0,1875;0,1251;0,1419;0,625;0,2222;0
Rumah 2 lantai ber carport 2 SHM di tebet jakarta selatan, Tebet, Jakarta Selatan;0,0516;0,1007;0,0431;0,25;0,4444;0,1111
Rumah Mewah 2 Lantai Siap Huni Desain Apik Di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan;0,0898;0,27;0,1159;0,25;0,3333;0
Rumah Lokasi Strategis Di Tebet, Tebet, Jakarta Selatan;0,0344;0,1289;0,0371;0,25;0,2222;0
Dijual Rumah Siap Huni di Komp Gudang Peluru, Tebet, Jakarta Selatan lt 282m2, Lebar Jalan 3 Mobil,Hubungi 0813-1838-1838 / 0878-7838-1838., Tebet, Jakarta Selatan;0,1133;0,3735;0,1694;0,5;0,4444;0,1111
Rumah Tebet Dekat Stasiun Tebet, Tebet, Jakarta Selatan;0,0352;0,0818;0,0565;0,375;0,1111;0
Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan;0,0625;0,2512;0,2088;0,75;0,3333;0
Rumah Mewah di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan;0,1328;0,3594;0,1434;0,5;0,4444;0,1111
Rumah second semi cluster di Tebet Timur Dalam Jaksel, Tebet, Jakarta Selatan;0,0375;0,0724;0,0371;0,25;0,2222;0
Rumah Bagus,Cantik Sangat Murah, Tebet, Jakarta Selatan;0,0625;0,2465;0,0788;0,875;0,5556;0,1111
Rumah Di Kebon Baru, Tebet, Tebet, Jakarta Selatan;0,0719;0,1759;0,127;0,375;0,2222;0,1111
BEST PRICE Rumah di Tebet, akses jalan 2 mobil, Jakarta Selatan, Tebet, Jakarta Selatan;0,0547;0,1101;0,0602;0,25;0,2222;0
Rumah strategis di Kebon baru, Tebet, Jakarta Selatan;0,1531;0,4111;0,2571;0,5;0,4444;0,2222
Rumah Termurah di Tebet Utara Jakarta Selatan, Tebet, Jakarta Selatan;0,025;0,1383;0,0275;0,375;0,3333;0
Rumah Murah dibawah harga dekat Mal Kota Casablanca Jakarta Selatan, Tebet, Jakarta Selatan;0,0406;0,1101;0,0542;0,25;0,3333;0
brand new rumah minimalis di tebet dekat sekolah dan TOl, Tebet, Jakarta Selatan;0,0383;0,1007;0,0431;0,125;0,3333;0,1111
Rumah 1,5 Lantai di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan;0,1;0,1289;0,1508;0,25;0,2222;0
Rumah Bagus di Menteng Dalam, Tebet, Jakarta Selatan;0,1406;0,317;0,1694;0,75;0,3333;0,2222
Rumah mewah bebas banjir murah di tebet, Tebet, Jakarta Selatan;0,2188;0,6933;0,87;0,5;0,8889;0,1111
Rumah minimalis di Tebet, Tebet, Jakarta Selatan;0,0391;0,1007;0,0401;0,375;0,2222;0,2222
Rumah Strategis Dan Minimalis Di Tebet, Tebet, Jakarta Selatan;0,0391;0,1759;0,0646;0,375;0,2222;0,1111
Rumah Tebet Barat 2Lantai siap huni strategis area!, Tebet, Jakarta Selatan;0,0281;0,0913;0,0267;0,375;0,2222;0
Butuh Cepat, Rumah Bagus Di Tebet, Tebet, Jakarta Selatan;0,0344;0,0818;0,0193;0,375;0,2222;0
Rumah Siap Huni di Jl Tebet Raya,Lingkungan Tenang dan Nyaman, Untuk informasi lebih lanjut Hubungi 0813-1838-1838 / 0878-7838-1838, Tebet, Jakarta Selatan;0,1563;0,1994;0,1865;0,375;0,2222;0
Rumah bagus Full Furnish, Tebet, Jakarta Selatan;0,0625;0,2418;0,0713;0,375;0,4444;0
Rumah Tua Di Tebet, Tebet, Jakarta Selatan;0,0719;0,0875;0,1025;0,375;0,1111;0,1111
Dijual Sangat Murah Rumah Di Tebet Timur Lokasi Premium Dan Strategis - Jakarta Selatan;0,0438;0,1392;0,0936;0,375;0,3333;0,2222
Rumah Lama Tebet Timur;0,0469;0,1289;0,0684;0,125;0;0
Edisi Turun Harga Masa Covid19 BU Rumah Mewah di Menteng Dalam, Tebet, Jakarta Selatan. Full Furnish;0,2188;0,6933;0,474;0,375;0,3333;0,3333
Rumah Dijual Tebet;0,0445;0,1289;0,0565;0,25;0,3333;0,1111
Rumah Siap Huni Jln 2 Mbl Nyaman;0,05;0,0913;0,0639;0,25;0,2222;0,1111
TEBET BARAT - Rumah Besar Akses 2 Mobil. SHM;0,078;0,27;0,1159;0,375;0,3333;0,2222
Rumah siap huni di tebet timur jakarta selatan;0,0469;0,1101;0,0728;0,25;0,2222;0,1111
Rumah baru lux furnish di kawasan elit tebet jakarta selatan;0,6406;0,7404;0,4056;0,375;0,4444;0,4444
Rumah Baru Di Tebet;0,1328;0,2606;0,1382;0,25;0,2222;0,1111
Rumah siap huni baru di tebet jakarta selatan;0,0469;0,1195;0,0639;0,25;0,3333;0,1111
Di Kebun Baru Rumah Terawat, Area Strategis;0,0469;0,0715;0,1308;0,25;0,3333;0
Di jual Rumah Cantik Bangunan 2 Lantai di Tebet;0,0938;0,317;0,1694;0,75;0,3333;0,2222
Rumah Tua di Tebet;0,0551;0,0348;0,0795;0,25;0,1111;0
Di Jual Cepat Rumah Mewah Konsep Minimalis Modern Di Tebet Jak Sel;0,375;0,397;0,3685;0,375;0,5556;0,1111
Rumah Huni Di Kawasan Utama Tebet;0,2953;0,2662;0,2942;0,375;0,4444;0,1111
Rumah Lama Jalan Lebar;0,2188;0,317;0,3893;0,5;0,2222;0,1111
Tebet Rumah Harga Menarik Jalan Dua Mobil Dekat Kasan Kuliner Tebet;0,0406;0,1007;0,0684;0,125;0,2222;0
Dijual Rumah Cantik Murah Siap Huni Di Tebet Timur, Tebet Jakarta Selatan;0,0461;0,1289;0,0698;0,25;0,2222;0
Dijual Rumah Brand New di Jl Tebet Timur Dalam;0,0453;0,1289;0,0565;0,125;0,1111;0,1111
TEBET - Siap Huni di Jalan 1 Mobil, Bagus;0,0445;0,1627;0,0617;0,25;0,2222;0,1111
Dijual Rumah Lokasi Sangat Strategis;0,1281;0,3641;0,4762;0,75;0,5556;0,1111
TEBET Akses 3 Mobil, Rumah Siap Huni;0,0773;0,1477;0,1085;0,125;0,2222;0,1111
Dijual Cepat rumah di Bukit Duri Tebet SHM;0,1016;0,4111;0,1679;0,25;0,3333;0
Dijual Rumah Tebet Timur Lokasi Premium Nyaman Dekat Taman Honda Jalan 1 Mobil;0,0328;0,1289;0,0364;0,125;0,2222;0
Dijual Rumah Second Siap Huni Strategis di Tebet Jaksel;0,0938;0,317;0,0951;0,25;0,2222;0,1111
Rumah Tua Hitung Tanah di menteng Dalam Tebet;0,375;0,4581;0,584;0,375;0,2222;0,5556
Dijual Rumah di Tebet;0,1563;0,2041;0,2155;0,125;0,2222;0,1111
Rumah baru siap huni di tebet jakarta selatan;0,0523;0,1101;0,0579;0,25;0,2222;0,1111
Rumah Di Asem Baris, Tebet;0,375;0,2747;0,7541;0,375;0,3333;0,3333
Rumah Cantik Menawan Siap Huni Di Tebet Timur Jakarta Selatan;0,0516;0,1759;0,075;0,375;0,2222;0,1111
TEBET Rumah Mewah Siap Huni Lingkungan Aman dan Nyaman;0,1219;0,317;0,1308;0,5;0,5556;0,1111
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,1875;0,1439;0,2452;0,125;0,2222;0,1111
Di Jual Rumah Brand New Di Tebet;0,0578;0,1759;0,0713;0,25;0,2222;0,1111
TEBET Rumah Baru Siap Huni Jalan Dua Mobil Lebar Dekat Jalan Raya;0,0969;0,1759;0,0795;0,125;0,2222;0,1111
Dijual Cepat Rumah Minimalis Modern siap huni Di Kebon Baru, Tebet Jakarta Selatan;0,0391;0,1214;0,049;0,375;0,3333;0,1111
TEBET Rumah Mewah dan Terawat Lokasi Premium Akses Mudah Jalan Tiga Mobil;0,1078;0,2982;0,127;0,375;0,2222;0,1111
TEBET MENTENG DALAM - Rumah Cantik, Minimalis, SHM;0,0281;0,0818;0,0364;0,125;0,2222;0,1111
TEBET DALAM - Rumah Brand New Minimalis SHM;0,025;0,063;0,0156;0,125;0,2222;0
Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil;0,0766;0,1759;0,11;0,375;0,3333;0,1111
Rumah Tebet Timur Hitung Tanah 338m2;0,0914;0,1468;0,211;0,375;0,2222;0,2222
Rumah Baru, Di Asembaris, Kebon Baru Tebet, Jakarta Selatan;0,0547;0,2465;0,1278;0,5;0,3333;0
Rumah Layak Huni Di Tebet Jual Cpt Jalan 1 Mobil 30m Dari Jln Besar;0,025;0,0536;0,0713;0,125;0,1111;0
Rumah Baru Renovasi Siap Huni Teebet (Best Price);0,0312;0,0724;0,0639;0,375;0,2222;0
Rumah Cantik Brand New 3 lantai siap huni;0,0625;0,1101;0,0542;0,375;0,3333;0,1111
Rumah hoek di Tebet Barat;0,0469;0,1289;0,0602;0,625;0,3333;0,1111
Rumah brand new siap huni di Tebet Timur;0,0391;0,0818;0,0431;0,25;0,3333;0
The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan;0,0797;0,2935;0,0565;0,375;0,3333;0,2222
Rumah Super Mewah Tebet Jakarta Selatan Harga Siap Nego;0,4531;0,6933;0,3299;0,375;0,4444;0,4444
Rumah Siap Huni di Jl. Tebet Utara;0,0859;0,1759;0,0944;0,75;0,3333;0,1111
Rumah Minimalis Tebet Dekat Jalan 2 Mobil;0,043;0,0818;0,0431;0,125;0,4444;0,1111
Rumah Minimalis Tebet 2 Lantai Dekat Pusat Bisnis Tebet, Jaksel;0,0828;0,1289;0,0587;0,25;0,2222;0,1111
Rumah Siap Huni Dalam Komplek Nyaman Tebet-Jakarta Selatan;0,2188;0,3923;0,2474;0,25;0,3333;0,2222
Rumah Minimalis Tebet 90 Meter, Dekat Jalan 2 Mobil;0,0258;0,0583;0,0267;0,125;0,3333;0,1111
Rumah Siap Huni Dengan Luas Tanah 360 Meter Jalan Lebar, Bebas Banjir Tebet-Jakarta Selatan;0,2734;0,6933;0,2273;0,375;0,6667;0,4444
Rumah Mediterania Jalan Lebar Lokasi Strategis Tebet Jakarta Selatan;0,2109;0,4111;0,188;0,125;0,3333;0,1111
Rumah Cantik Siap Huni Jalan Lebar Di Kawasan Premium Tebet, Jaksel;0,1211;0,27;0,11;0,25;0,4444;0,2222
Rumah Siap Huni Jalan 2 Mobil, Jarang Ada, Sertifikat Hak Milik;0,075;0,1289;0,0624;0,375;0,3333;0,1111
Rumah Siap Huni Di Tebet Timur, Jalan Lebar, Dengan Kolam Renang Outdoor;0,2188;0,1759;0,1902;0,25;0,4444;0,1111
Rumah Hitung Tanah Di Jalan Lebar, Kawasan Nyaman, Paling Murah!!;0,2188;0,317;0,3908;0,375;0,3333;0,2222
Rumah Di Jalan 1 Mobil Kawasan Nyaman Tebet Timur, Jakarta Selatan;0,0203;0,0348;0,0267;0;0,1111;0
Tebet Barat Rumah Bagus Siap Huni, jakarta Selatan;0,0461;0,1289;0,0832;0,25;0,3333;0,2222
Tebet Rumah Lama Murah, Jakarta Selatan;0,0273;0,0536;0,0602;0,125;0,1111;0
Tebet Barat Rumah Murah Strategis Area, Jakarta Selatan;0,0352;0,1769;0,0684;0,75;0,7778;0,1111
Rumah Cantik Siap Huni;0,0248;0,1007;0,0163;0,125;0,2222;0,1111
Regensi Tebet Mas;0,0547;0,0724;0,0639;0,375;0,3333;0,1111
Rumah bagus SIAP HUNI Akses Jalan 2 Mobil One Way di Tebet Timur;0,0547;0,1289;0,0698;0,375;0,3333;0,1111
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0961;0,1759;0,0802;0,375;0,2222;0,1111
Rumah Bagus 2 Lt Akses Jalan Lebar di Tebet Utara, Jakarta Selatan;0,0859;0,1712;0,0527;0,25;0,2222;0,2222
Rumah mewah siap huni di tebet barat jakarta selatan;0,0898;0,27;0,1159;0,25;0,3333;0
Rumah Tebet Barat Dalam LT480 Jakarta Selatan;0,3438;0,3923;0,4056;1;0,3333;0,1111
Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil;0,0859;0,1289;0,1248;0,5;0,1111;0,1111
Rumah di Tebet Utara Jalan 2 Mobil, Lingkungan Nyaman dan Lokasi Strategis Akses Mudah Dijangkau;0,0406;0,1007;0,0684;0,25;0,2222;0
Dijual Rumah Mewah 2 Lantai di Tebet Barat, Jalan 3 Mobil, Lingkungan Nyaman dan Aman;0,1219;0,317;0,1308;0,5;0,5556;0,1111
TEBET TIMUR LT 135 M2 - Rumah Termurah, Hitung Tanah Saja;0,0141;0,0677;0,0602;0,125;0,2222;0,1111
Rumah Mewah Brand New Jalan Utama Tebet Timur Dalam;0,4375;0,8627;0,4591;0,375;0,5556;0,3333
Rumah Termurah di Tebet Barat Jakarta Selatan;0,0242;0,0818;0,0267;0,25;0,3333;0,1111
Rumah Baru di Tebet Barat Jakarta Selatan;0,0359;0,0536;0,0267;0,375;0,3333;0,1111
TEBET Rumah Siap Huni Desain Rumah Rumah Bagus dan Nyaman;0,0328;0,1289;0,0267;0,125;0,2222;0
TEBET BARAT Rumah Siap Huni Lokasi Premium Jalan Tiga Mobil;0,0773;0,1477;0,1085;0,375;0,3333;0
TEBET Rumah Siap Huni Lokasi Sangat Bagus Aman dan Nyaman JARANG ADA;0,0797;0,1759;0,1114;0,375;0,2222;0,1111
TEBET Rumah Baru Siap Huni Lokasi Premium Nyaman Untuk Tempat Tinggal;0,0344;0,0818;0,0245;0,25;0,2222;0,1111
TEBET Rumah Siap Huni Kondisi Relatif Baru;0,0234;0,0724;0,0178;0,25;0,2222;0
Brand New Townhouse Mewah Di Dekat Patra Kuningan;0,1797;0,5052;0,1144;0,25;0,4444;0,3333
Rumah Besar,Siap Huni Di Tebet Jakarta Selatan;0,1094;0,0837;0,1308;0,125;0,2222;0
Rumah Lama Hitung Tanah Supomo Tebet Jakarta Selatan;0,125;0,1289;0,1308;0,5;0,2222;0,1111
Di Jual Di Bawah Harga Pasaran Rumah Siap Huni Di Tebet Timur Jaksel;0,0469;0,1101;0,075;0,25;0,2222;0,1111
Dijual rumah di tebet jakarta selatan strategis dekat jl. mt. haryono;0,043;0,1289;0,0602;0,375;0,2222;0,2222
Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan;0,3281;0,9567;0,4198;0,625;0,5556;0,3333
Rumah murah asem baris;0,0172;0,0913;0,049;0,5;0,2222;0
Rumah tebet;0,1203;0,0913;0,1538;0,25;0,3333;0,1111
Di Jual Rumah Cantik di TEBET;0,0391;0,1618;0,0639;0,375;0,3333;0
Rumah pinggir jalan, Asem baris , Tebet , Jakarta Selatan;0,0703;0,1007;0,1605;0,5;0,2222;0
Dijual rumah baru minimalis di Di Tebet Jakarta Selatan;0,0391;0,0536;0,0238;0,375;0,3333;0
Rumah Onprogress 2,5 Lantai Di Asem Baris Tebet Dekat Station Cawang;0,0234;0,1289;0,0342;0,125;0,2222;0,1111
Tebet Rumah Jalan 2 Mobil Harga Menarik;0,0406;0,1007;0,0684;0,25;0,2222;0,1111
Dijual Cepat Rumah Di Kebon Baru, Tebet;0,0219;0,079;0,0743;0,125;0,1111;0
Dijual Cepat Rumah Bagus Di Tebet;0,5781;0,4111;0,4948;0,5;0,5556;0,2222
Rumah Asri Dijual Cepat Di Tebet;0,0609;0,1091;0,0773;0,25;0,3333;0,1111
Rumah Asri Di Tebet Dijual Cepat;0,0352;0,1759;0,0676;0,75;0,7778;0,1111
Rumah Asri Di Tebet, Dijual Cepat;0,1406;0,5052;0,1872;0,5;0,4444;0,2222
Rumah Dijual Di Tebet;0,1797;0,1759;0,1003;0,5;0,3333;0,1111
Rumah Dijual Di Tebet;0,0703;0,1289;0,0713;0,375;0,2222;0
Rumah Asri Di Tebet;0,0781;0,0818;0,078;0,375;0,3333;0,1111
Rumah Di Tebet, Dijual Cepat;0,0625;0,1289;0,0565;0,375;0,3333;0
Rumah Asri Di Tebet Dijual;0,0781;0,2606;0,0884;0,375;0,3333;0,1111
Rumah Dijual Di Tebet;0,0719;0,0875;0,1025;0,5;0,1111;0,1111
Rumah Asri Di Tebet - Dijual Cepat;0,043;0,223;0,0936;0,375;0,2222;0,1111
Rumah Asri Di Kebon Baru, Tebet - Dijual Cepat;0,0719;0,1759;0,127;0,375;0,2222;0,1111
Rumah Asri Di Tebet - Dijual Cepat;0,0344;0,0818;0,0193;0,375;0,2222;0
Dijual Rumah Minimalis Siap Huni Daerah Tebet, Jakarta Selatan;0,0234;0,0724;0,0171;0,125;0,2222;0
Dijual Rumah Lama Layak Huni Daerah Tebet , Jakarta Selatan;0,1391;0,1289;0,2125;0,25;0,3333;0
Rumah baru tebet timur;0,0438;0,1289;0,0565;0,125;0,2222;0,1111
Dijual Rumah Komplek Tebet Barat Lokasi Premium Nyaman Jalan Lebar;0,1328;0,223;0,2333;0,25;0,2222;0,2222
Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 3 Mobil;0,1406;0,27;0,1627;0,25;0,2222;0,3333
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil;0,1797;0,3782;0,2199;0,5;0,5556;0,1111
Rumah Tua Hook di Tebet, Jakarta Selatan. Akses Mobil dan Ada Garasi;0,0266;0,0677;0,0713;0,25;0,1111;0,2222
Tebet barat rumah modern minimalis private pool, jakarta selatan;0,1375;0,317;0,1441;0,375;0,4444;0,2222
TEBET BARAT RAYA Rumah Hitung Tanah Cocok Tinggal, Kantor dan Usaha, Bisa Belah 2 Dekat Taman Honda;0,1641;0,317;0,1828;0,875;0,5556;0,5556
Rumah Siap Huni di Tebet Dalam IV, Jln 1 Mobil Dekat ke 3 Mobil, Sudah Sertifikat;0,025;0,0536;0,0654;0,25;0,1111;0
Dijual Cepat Rumah Kavling di Tebet Ready 3 Unit;0,0328;0,0536;0,0238;0,375;0,3333;0,1111
Rumah Tebet Saharjo;0,057;0,2418;0,0602;0,5;0,4444;0
Rumah Cantik Tebet;0,1211;0,1759;0,1085;0,25;0,3333;0,1111
